catalog,case_study,scenario,field,actual,benchmark,absolute_deviation,within_tolerance
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,utility_steam_flow,217.78,217.78,0.0,True
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,fuel_consumption,239.97000000000003,239.97,2.842170943040401e-14,True
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,power_generation,41.67,41.67,0.0,True
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,steam_turbine_power,20.89,20.89,0.0,True
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,gas_turbine_power,20.780000000000005,20.78,3.552713678800501e-15,True
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,operating_cost,52.830000000000005,52.83,7.105427357601002e-15,True
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,maintenance_cost,3.53,3.53,0.0,True
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,capital_cost,10.380000000000003,10.38,1.7763568394002505e-15,True
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,total_annualized_cost,66.74000000000001,66.74,1.4210854715202004e-14,True
reported-equipment,contribution-2-case-study-2,utility-system-stand-alone,fuel_cost,50.60000000000001,50.6,7.105427357601002e-15,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,utility_steam_flow,217.78,217.78,0.0,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,fuel_consumption,245.03999999999996,245.04,2.842170943040401e-14,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,power_generation,46.66999999999999,46.67,1.4210854715202004e-14,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,steam_turbine_power,20.88,20.88,0.0,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,gas_turbine_power,25.78999999999999,25.79,1.0658141036401503e-14,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,operating_cost,50.49,50.49,0.0,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,maintenance_cost,3.59,3.59,0.0,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,capital_cost,10.779999999999998,10.78,1.7763568394002505e-15,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,total_annualized_cost,64.86,64.86,0.0,True
reported-equipment,contribution-2-case-study-2,utility-system-microgrid,fuel_cost,51.779999999999994,51.78,7.105427357601002e-15,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,utility_steam_flow,137.09,137.09,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,fuel_consumption,121.95999999999998,121.96,1.4210854715202004e-14,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,power_generation,41.66999999999998,41.67,2.1316282072803006e-14,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,steam_turbine_power,11.02,11.02,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,gas_turbine_power,30.64999999999998,30.65,1.7763568394002505e-14,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,operating_cost,43.709999999999994,43.71,7.105427357601002e-15,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,maintenance_cost,2.46,2.46,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,capital_cost,8.989999999999998,8.99,1.7763568394002505e-15,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,total_annualized_cost,55.15999999999999,55.17,0.010000000000012221,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,fuel_cost,25.959999999999994,25.96,7.105427357601002e-15,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-stand-alone,hot_oil_operating_cost,13.81,13.81,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,utility_steam_flow,136.67,136.67,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,fuel_consumption,175.03000000000003,175.03,2.842170943040401e-14,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,power_generation,46.670000000000016,46.67,1.4210854715202004e-14,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,steam_turbine_power,11.41,11.41,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,gas_turbine_power,35.26000000000001,35.26,1.4210854715202004e-14,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,operating_cost,41.66,41.66,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,maintenance_cost,2.63,2.63,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,capital_cost,9.6,9.6,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,total_annualized_cost,53.89,53.89,0.0,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,fuel_cost,29.10000000000001,29.1,7.105427357601002e-15,True
reported-equipment,contribution-2-case-study-2,hot-oil-fsr-microgrid,hot_oil_operating_cost,13.81,13.81,0.0,True
